loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.00896948,2,-0.00157630443573,0.00879816,0.0,384483,0.866581,963.14,963.14,69.1191,1121,302.52468848228455
-0.00974313,2,0.0132227540016,0.00890473,0.0,386483,0.895765,963.14,963.14,56.0087,1123,304.11855912208557
-0.0109471,2,-0.033256649971,0.0110079,0.0,388483,0.852859,963.14,963.14,70.5448,1125,305.73663878440857
-0.00630838,2,0.00238943099976,0.00800719,0.0,390483,0.864172,963.14,963.14,68.1678,1127,307.3296687602997
-0.00520224,2,0.00258052349091,0.00439032,0.0,392483,0.860607,963.14,963.14,67.9638,1129,308.94714879989624
-0.00794948,2,-0.0141726732254,0.00868455,0.0,394483,0.857242,963.14,963.14,69.5536,1131,310.5567922592163
-0.00511506,2,0.0089014172554,0.00394793,0.0,396483,0.85803,963.14,963.14,66.5072,1133,312.1561686992645
-0.0023725,2,-0.0167545080185,0.00300409,0.0,398483,0.851926,963.14,963.14,69.2392,1135,313.7655396461487
-0.00517928,2,-0.00827383995056,0.00622664,0.0,400483,0.852252,963.14,963.14,68.8779,1137,315.35928440093994
-0.00850874,2,5.82933425903e-05,0.00772624,0.0,402483,0.849281,963.14,963.14,65.949,1139,316.96865463256836
-0.0049507,3,-0.00534760951996,0.00689318,0.0,405483,0.845096,971.89,971.89,100.732,1142,318.5675675868988
-0.0053917,2,-0.010843873024,0.00761128,0.0,407483,0.856703,978.72,978.72,65.9829,1144,320.1875538825989
-0.00644673,2,-0.00535976886749,0.0118333,0.0,409483,0.852903,978.91,978.91,68.3607,1146,321.78129839897156
-0.00576317,2,-0.00487196445465,0.00520987,0.0,411483,0.867713,978.91,978.91,68.327,1148,323.3906705379486
-0.00599786,2,-0.00125050544739,0.00719994,0.0,413483,0.892268,978.91,978.91,68.2735,1150,325.0000400543213
-0.00563255,2,-0.0011887550354,0.00534437,0.0,415483,0.892771,988.14,988.14,68.3915,1152,326.60940957069397
-0.00398723,2,-0.000850439071655,0.00652919,0.0,417483,0.896366,993.84,993.84,68.3889,1154,328.2106122970581
