EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
5054,360409,596.39,5548.63024509,0.0555507,-0.481887,0.0,7539.15,0.00357171,-0.0493440628052,308.8911337852478,3
5056,362209,602.12,5602.16447734,0.017226,-0.481697,0.0,2900.44,-0.0156243,0.646675407887,310.6412127017975,2
5058,364209,608.67,5663.37491362,0.0159505,-0.471129,0.0,5890.1,-0.00753264,-0.157115578651,312.3913481235504,2
5060,366068,617.14,5742.41414378,0.0111181,-0.466599,0.0,5065.59,-0.0068168,0.248491764069,314.1252841949463,2
5062,367858,627.98,5843.51279482,0.0312784,-0.451648,0.0,4787.97,0.000261542,0.344357728958,315.87542700767517,2
5065,370664,652.47,6071.76296243,0.0245656,-0.453955,0.0,6789.62,-0.00693615,0.29914522171,317.6100935935974,3
5067,372219,658.66,6129.61127643,0.0470463,-0.440593,0.0,5082.35,-0.00672722,0.341931462288,319.36002945899963,2
5070,374235,670.44,6239.4930213,0.0165455,-0.426091,0.0,3564.96,-0.0134099,0.561570823193,321.1097137928009,3
5074,376747,673.42,6267.63709748,0.0201871,-0.418779,0.0,7427.33,-0.00513928,0.537985920906,322.8440625667572,4
5077,378691,678.65,6316.46855391,0.125871,-0.433206,0.0,5821.86,0.0296828,0.558033645153,324.5785572528839,3
5079,380691,686.28,6387.72674144,0.0252373,-0.433487,0.0,5852.49,-0.00662783,-0.195812225342,326.32841968536377,2
5081,382691,686.28,6388.02555117,0.0203967,-0.421881,0.0,5958.36,-0.00472939,-0.0884922742844,328.06292700767517,2
5083,384673,699.85,6514.6093483,0.0260022,-0.432009,0.0,4238.21,-0.00234404,0.428458869457,329.8130269050598,2
5085,386596,705.04,6563.14440356,0.0473055,-0.429938,0.0,4420.24,-0.00107702,0.380506753922,331.51619243621826,2
5087,388596,714.63,6652.73167277,0.0140376,-0.411528,0.0,5806.85,-0.00840631,-0.015333533287,333.2656502723694,2
5089,390596,722.73,6728.42638798,0.0452892,-0.40762,0.0,4961.19,-0.00112498,0.0204526782036,334.9843957424164,2
5092,393174,732.16,6816.49261418,0.0197525,-0.401732,0.0,7493.06,-0.0119413,0.23122805357,336.73439025878906,3
5095,395211,742.07,6908.99880892,0.0321814,-0.409746,0.0,6378.93,-0.00346815,0.438241958618,338.4687600135803,3
5097,396467,734.63,6839.85822523,0.0254112,-0.441739,0.0,2706.7,-0.0166324,0.538998872042,340.21875500679016,2
5100,398922,743.55,6923.20585835,0.022075,-0.450623,0.0,7547.22,-0.00756572,0.22224342823,341.9400851726532,3
5104,401056,726.06,6760.77324455,0.0304229,-0.475518,0.0,7026.94,-0.00759284,0.582803487778,343.688193321228,4
5107,402970,726.56,6765.59708933,0.0169399,-0.477262,0.0,4055.38,-0.0130468,0.616991460323,345.4382109642029,3
5109,404970,733.24,6827.94554584,0.0275369,-0.463671,0.0,4580.95,-0.0049396,0.257758200169,347.18817591667175,2
5112,407286,741.45,6904.57183474,0.0118964,-0.472436,0.0,5795.73,-0.0128318,0.591812849045,348.9222321510315,3
5115,409497,745.6,6943.13347729,0.0372624,-0.473121,0.0,5227.17,-0.00680156,0.521222561598,350.67214250564575,3
5119,411481,745.93,6946.18430411,0.0221297,-0.465608,0.0,5925.82,-0.0090446,0.75034531951,352.4066445827484,4
5122,412945,734.25,6837.51700048,0.0134078,-0.460605,0.0,5965.59,-0.0141438,0.553910255432,354.1567122936249,3
5128,415739,733.74,6832.7298489,0.0173286,-0.459194,0.0,9790.13,-0.0100466,0.571918338537,355.90707325935364,6
5131,417773,746.94,6955.57008585,0.0250944,-0.466233,0.0,5295.63,-0.00526224,0.542221367359,357.6484673023224,3
5133,419756,754.31,7024.22080237,0.0164265,-0.476888,0.0,2643.51,-0.00569414,0.568559169769,359.3905336856842,2
5135,421208,756.18,7041.73769209,0.0647657,-0.484899,0.0,5033.69,0.0033425,0.235614001751,361.12490129470825,2
5138,423466,748.76,6972.58397994,0.0173131,-0.492779,0.0,4839.9,-0.00578734,0.620725959539,362.9237265586853,3
5141,425930,748.77,6972.68848019,0.0183703,-0.488639,0.0,6697.71,-0.0141902,0.137733757496,364.703195810318,3
5146,427238,740.57,6896.19726672,0.0268409,-0.503193,0.0,6320.23,-0.00451744,0.617841899395,366.4939396381378,5
5150,429997,735.88,6852.19683201,0.035043,-0.503676,0.0,7703.01,-0.00615115,0.570887833834,368.2451665401459,4
5156,431630,694.21,6463.6759184,0.0138,-0.52607,0.0,7301.63,-0.00857474,0.743452847004,369.99358201026917,6
5159,433341,681.32,6343.33174594,0.0120959,-0.535756,0.0,5627.37,-0.0158567,0.578433901072,371.7194776535034,3
5161,435302,682.34,6352.52362026,0.0173515,-0.539689,0.0,4765.91,-0.0132421,0.227155506611,373.4688501358032,2
5165,437824,671.6,6252.07306884,0.0108898,-0.54172,0.0,8115.12,-0.0159905,0.473876655102,375.20443630218506,4
5167,439721,675.02,6283.69133473,0.038781,-0.543671,0.0,4743.13,-0.000167229,0.231056451797,376.95320773124695,2
5170,441675,674.4,6277.67440056,0.0224862,-0.558608,0.0,4060.58,-0.0141689,0.620992213488,378.6719527244568,3
