loss_kl,EpLenMean,TimestepsSoFar,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,TimeElapsed,loss_vf_loss,EpThisIter,EpRewMean
0.036927,629.08,423830,2141,0.0,0.636058539152,-0.0349964,4.22636,422.543981552124,750.519,2,2674.11596394
0.0366592,621.83,425376,2145,0.0,0.939264472574,-0.0521302,4.20415,424.5775611400604,267.864,4,2641.38683101
0.029852,612.92,427485,2148,0.0,0.669477730989,-0.0381474,4.18466,426.6127715110779,1335.61,3,2600.86764207
0.0281862,622.17,429963,2151,0.0,0.803827911615,-0.0470333,4.17182,428.6282901763916,874.615,3,2640.76161715
0.0342271,628.87,431723,2153,0.0,0.929046317935,-0.0599282,4.13588,430.64563727378845,85.2203,2,2669.18293776
0.0276187,628.41,433239,2155,0.0,0.800942674279,-0.0393387,4.10839,432.684011220932,726.965,2,2665.15459722
0.0318892,638.93,435458,2158,0.0,0.602916866541,-0.0383953,4.10328,434.7149693965912,1425.64,3,2707.78380918
0.0286025,642.49,438151,2162,0.0,0.77059084177,-0.0425602,4.10689,436.7629482746124,1344.37,4,2722.959532
0.029636,653.87,440151,2164,0.0,0.343520760536,-0.0356165,4.09862,438.7963812351227,1175.67,2,2774.35814096
0.0263485,654.83,441503,2166,0.0,0.933947570622,-0.0573752,4.11353,440.8169803619385,50.5403,2,2778.54303847
0.0279452,660.71,444369,2170,0.0,0.881632946432,-0.0449374,4.11461,442.84998631477356,666.903,4,2804.19084002
0.0353449,673.99,446394,2173,0.0,0.931019790471,-0.0560777,4.12156,444.8717095851898,189.061,3,2862.46680733
0.0317962,684.11,448394,2175,0.0,0.912876591086,-0.0575985,4.10345,446.90304493904114,124.889,2,2905.68526739
0.0301946,682.27,449864,2179,0.0,0.930600471795,-0.0581858,4.04974,448.9197053909302,262.81,4,2893.95173282
0.0294594,688.31,451638,2182,0.0,0.845088467002,-0.0400839,4.0734,450.9500424861908,752.541,3,2917.94439961
0.0251815,675.58,454014,2188,0.0,0.878331512213,-0.0616578,4.03865,452.98471760749817,892.812,6,2853.09369109
0.0315171,687.73,456411,2191,0.0,0.766867354512,-0.053266,4.00217,455.0199224948883,769.056,3,2906.25756656
