loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.0319032,406574,0.934269912541,-0.0659719,1719,3.95772,684.5,2,0.0,99.928,405.41259765625,2605.63120456
0.0281609,408995,0.952446162701,-0.0640243,1723,3.92647,686.47,4,0.0,174.668,407.44422793388367,2613.20247129
0.0286899,410990,0.806091681123,-0.0496876,1726,3.92889,685.98,3,0.0,369.926,409.47788071632385,2610.38848789
0.0313723,412939,0.881882280111,-0.0460266,1729,3.94036,679.0,3,0.0,462.472,411.5139048099518,2582.83934559
0.0283425,415443,0.776118576527,-0.048433,1732,3.92477,680.66,3,0.0,531.077,413.54556679725647,2595.59316414
0.0313154,417319,0.832041114569,-0.0452086,1735,3.92261,681.57,3,0.0,723.162,415.54712080955505,2600.34223676
0.0329307,419555,0.959723301232,-0.0687484,1739,3.91216,685.24,4,0.0,104.372,417.57215332984924,2618.62146639
0.0317276,420992,0.955343678594,-0.0650768,1741,3.89024,686.89,2,0.0,87.2466,419.6095974445343,2628.95805002
0.0252446,423220,0.835768744349,-0.0434873,1744,3.84306,696.93,3,0.0,679.054,421.6305651664734,2670.6083019
0.0302078,425629,0.938298117369,-0.0613511,1748,3.82775,697.02,4,0.0,142.188,423.6619076728821,2675.72517863
0.0328614,427256,0.939680609852,-0.0704104,1752,3.81186,678.36,4,0.0,173.93,425.6791183948517,2605.20854307
0.028885,429817,0.730457425117,-0.0433547,1755,3.8165,676.87,3,0.0,651.925,427.7095048427582,2604.97820084
0.0305319,431698,0.974189395085,-0.071101,1758,3.76776,676.91,3,0.0,80.6539,429.74085092544556,2611.36369284
0.0280944,433731,0.967162206769,-0.0640016,1762,3.78502,670.72,4,0.0,107.217,431.7556562423706,2592.74374773
0.0317397,436118,0.952588524669,-0.064221,1767,3.73532,653.71,5,0.0,143.795,433.7871923446655,2532.54663606
0.0296763,438051,0.965384151787,-0.0662091,1770,3.72149,651.63,3,0.0,83.4651,435.81972336769104,2526.89364369
0.0259497,440115,0.853934079409,-0.0444807,1773,3.6776,643.24,3,0.0,700.684,437.8346621990204,2497.5395257
0.027449,441608,0.87826666981,-0.0415692,1776,3.6515,638.67,3,0.0,453.349,439.8651533126831,2478.59342509
0.0414322,443439,0.899990335107,-0.0598603,1778,3.63336,638.56,2,0.0,182.713,441.89774227142334,2480.5623982
0.0340883,446312,0.700451642275,-0.0366036,1781,3.63572,642.14,3,0.0,1167.61,443.9126856327057,2502.33265132
0.0230392,448210,0.800291791558,-0.0405243,1783,3.61552,646.94,2,0.0,305.03,445.9462003707886,2527.59723891
0.0219378,449974,0.781016021967,-0.0434484,1785,3.62736,655.57,2,0.0,650.68,447.96763038635254,2565.44046633
0.0261898,451974,0.268751323223,-0.0398721,1787,3.61098,659.44,2,0.0,1258.0,449.99334239959717,2586.73748631
0.0319162,454287,0.952770266682,-0.0662681,1790,3.59326,662.4,3,0.0,61.396,452.0298981666565,2603.55317664
0.0273299,455887,0.84308449924,-0.0463816,1792,3.60726,663.35,2,0.0,241.936,454.0451943874359,2606.89456485
