EpRewMean,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpisodesSoFar,loss_ent,EpLenMean,TimeElapsed
989.85,2,-0.0340485572815,0.00679359,-0.00755467,0.0,417574,69.788,1193,1.01957,989.85,329.8904640674591
986.55,2,0.00274497270584,0.0111917,-0.00994104,0.0,419244,64.3656,1195,1.02146,986.55,331.5009355545044
986.55,2,-0.00833177566528,0.00675608,-0.00406894,0.0,421244,68.4029,1197,1.02079,986.55,333.1107180118561
986.55,2,0.0287076830864,0.00452787,-0.00460389,0.0,423244,63.853,1199,1.03623,986.55,334.7290859222412
986.55,2,0.0255725383759,0.0084847,-0.0089303,0.0,425244,66.9465,1201,1.04594,986.55,336.34382939338684
986.55,2,-0.0139615535736,0.00618945,-0.00688619,0.0,427244,60.2397,1203,1.06349,986.55,337.9532015323639
986.55,2,0.0363066792488,0.011889,-0.00690532,0.0,429244,66.8948,1205,1.0466,986.55,339.578195810318
986.55,2,-0.0299791097641,0.00453443,-0.00279994,0.0,431244,68.2374,1207,1.06232,986.55,341.19570875167847
986.55,2,0.0355514287949,0.00566325,-0.00494754,0.0,433244,65.4558,1209,1.05306,986.55,342.8053982257843
986.55,2,-0.00979852676392,0.00439222,-0.00433818,0.0,435244,67.6658,1211,1.05775,986.55,344.4221124649048
986.55,3,-0.00898909568787,0.00748459,-0.00474742,0.0,438244,98.3769,1214,1.06275,986.55,346.0482189655304
986.55,2,-0.00189352035522,0.00575106,-0.00552463,0.0,440244,67.1678,1216,1.08736,986.55,347.65725016593933
974.11,3,0.681259930134,0.00711976,-0.0143669,0.0,442000,36.9218,1219,1.07194,974.11,349.27335143089294
974.11,2,-0.00188851356506,0.0054456,-0.00484542,0.0,444000,69.1874,1221,1.05263,974.11,350.88365054130554
974.11,2,-0.00785601139069,0.00746268,-0.00247728,0.0,446000,69.1459,1223,1.04793,974.11,352.5004241466522
970.55,2,0.652777850628,0.0054981,-0.00821692,0.0,447644,38.4719,1225,1.04211,970.55,354.11084723472595
965.45,3,0.61495873332,0.00839508,-0.00762109,0.0,450134,75.9339,1228,1.02961,965.45,355.71169424057007
965.45,2,0.152498960495,0.00688515,-0.00494844,0.0,452134,58.5468,1230,1.02627,965.45,357.34373211860657
965.45,2,-0.00528872013092,0.0183077,-0.00453257,0.0,454134,70.009,1232,1.0152,965.45,358.95310044288635
965.45,2,2.35438346863e-05,0.00613429,-0.00475811,0.0,456134,69.517,1234,1.00413,965.45,360.59315371513367
965.45,2,-0.0185567140579,0.00523608,-0.0101988,0.0,458134,69.3981,1236,1.0051,965.45,362.22741508483887
965.45,2,-0.000452160835266,0.00782225,-0.00682087,0.0,460134,68.8354,1238,0.987526,965.45,363.85251235961914
