loss_vf_loss,EpLenMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_kl,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter
67.0993,988.36,1109,316.54837107658386,-0.00561726093292,0.00436186,988.36,392484,-0.0054659,0.0,0.872883,2
68.6535,988.36,1111,318.20291233062744,-0.00915133953094,0.0137254,988.36,394484,-0.00950762,0.0,0.867481,2
68.1382,988.36,1113,319.8279056549072,-0.0207544565201,0.0110479,988.36,396484,-0.00827439,0.0,0.874756,2
68.4947,988.36,1115,321.4695224761963,-0.00274181365967,0.00766311,988.36,398484,-0.00553113,0.0,0.910656,2
53.9788,988.36,1117,323.126665353775,0.0176035165787,0.00775462,988.36,400484,-0.00707513,0.0,0.907217,2
68.5785,988.36,1119,324.75975942611694,-0.00467777252197,0.0060116,988.36,402484,-0.00863275,0.0,0.914016,2
96.9141,988.36,1122,326.41908049583435,0.00910931825638,0.0128348,988.36,405484,-0.0108094,0.0,0.935695,3
68.0451,988.36,1124,328.0440742969513,-0.0246039628983,0.00586981,988.36,407484,-0.00482641,0.0,0.938213,2
64.2985,988.36,1126,329.70307898521423,-0.0139062404633,0.00947233,988.36,409484,-0.0117818,0.0,0.941123,2
68.0867,988.36,1128,331.343697309494,-0.0244473218918,0.00834639,988.36,411484,-0.00628381,0.0,0.941015,2
67.2887,988.36,1130,332.9999439716339,0.00257694721222,0.00945659,988.36,413484,-0.00879572,0.0,0.911991,2
66.0878,988.36,1132,334.6346232891083,-0.0104477405548,0.00406904,988.36,415484,-0.00571502,0.0,0.901888,2
68.2521,988.36,1134,336.2908344268799,-0.00249814987183,0.00900873,988.36,417484,-0.00747658,0.0,0.903505,2
67.657,988.36,1136,337.92337822914124,0.0194113254547,0.0102709,988.36,419484,-0.00468474,0.0,0.913246,2
67.6673,988.36,1138,339.5816435813904,-0.00842475891113,0.00531115,988.36,421484,-0.00732635,0.0,0.909359,2
66.5901,992.87,1140,341.2077114582062,-0.00821328163147,0.00401435,992.87,423484,-0.00472918,0.0,0.914851,2
68.0319,996.24,1142,342.8554379940033,-0.031996846199,0.00326749,996.24,425484,-0.00431609,0.0,0.926439,2
64.0607,999.39,1144,344.49752616882324,-0.0343321561813,0.011715,999.39,427484,-0.00838417,0.0,0.948709,2
67.7452,999.39,1146,346.1409492492676,0.00406676530838,0.00341921,999.39,429484,-0.00520734,0.0,0.951981,2
96.94,990.09,1149,347.79915714263916,0.00404781103134,0.00928384,990.09,431554,-0.00536207,0.0,0.932144,3
65.6859,990.09,1151,349.4376118183136,-0.00227224826813,0.00799418,990.09,433554,-0.00531026,0.0,0.952856,2
65.5283,990.09,1153,351.09433698654175,0.00987613201141,0.00497867,990.09,435554,-0.00507881,0.0,0.966576,2
65.7361,990.7,1155,352.727432012558,0.0100549459457,0.0161553,990.7,437554,-0.00831462,0.0,0.962839,2
66.5767,990.7,1157,354.3835072517395,0.0544964671135,0.00913054,990.7,439554,-0.00777326,0.0,0.965439,2
67.9719,990.7,1159,356.01657724380493,-0.0098785161972,0.011727,990.7,441554,-0.00581118,0.0,0.988524,2
64.0776,990.7,1161,357.6729919910431,-0.0732138156891,0.00746013,990.7,443554,-0.0050425,0.0,1.00501,2
65.7409,990.7,1163,359.3391041755676,0.0225748419762,0.0114641,990.7,445554,-0.00289017,0.0,0.998985,2
67.4899,990.7,1165,360.988440990448,0.00559949874878,0.00493512,990.7,447554,-0.00664458,0.0,0.995691,2
94.4673,990.7,1168,362.6302978992462,0.0215164422989,0.00646466,990.7,450554,-0.00591731,0.0,0.994259,3
67.573,990.7,1170,364.2654116153717,-0.0302510261536,0.00587591,990.7,452554,-0.00548808,0.0,0.998459,2
53.169,990.7,1172,365.90695214271545,0.183575153351,0.0155546,990.7,454554,-0.00853292,0.0,0.989378,2
68.4804,990.7,1174,367.532687664032,0.026879131794,0.0113511,990.7,456554,-0.00465577,0.0,0.998457,2
35.0162,986.97,1176,369.1878294944763,0.415158927441,0.00695561,986.97,458181,-0.00821686,0.0,1.00656,2
65.2922,986.97,1178,370.83654737472534,0.0120396018028,0.00404141,986.97,460181,-0.00861896,0.0,0.987645,2
68.3833,986.97,1180,372.48125290870667,0.00485414266586,0.00996129,986.97,462181,-0.00703685,0.0,0.996774,2
64.3057,986.97,1182,374.1247012615204,0.0313369035721,0.0105992,986.97,464181,-0.00646756,0.0,1.00256,2
67.8328,986.97,1184,375.7738995552063,0.016241312027,0.00652946,986.97,466181,-0.00747155,0.0,1.0316,2
