EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
7782,0.0691057,-3.36536,-5.78877191664,0.92891831696,41,0.0180374,332.499813079834,389100,-0.0198516,0.0,50.0
7823,0.0770463,-3.36716,-5.75204605348,0.937691364437,41,0.0279201,334.2413058280945,391150,-0.0159135,0.0,50.0
7864,0.0889629,-3.35517,-5.83616116039,0.903518825769,41,0.0327974,336.0072603225708,393200,-0.0159038,0.0,50.0
7905,0.111091,-3.35445,-5.68262321291,0.893657281995,41,0.0197272,337.7436327934265,395250,-0.0140139,0.0,50.0
7946,0.0821685,-3.34741,-5.63601388159,0.916491687298,41,0.0331968,339.4841980934143,397300,-0.00252655,0.0,50.0
7987,0.100698,-3.35204,-5.86191443931,0.916915267706,41,0.0551764,341.2255792617798,399350,-0.0111052,0.0,50.0
8028,0.0837789,-3.34736,-6.09841874591,0.907091245055,41,0.0364403,342.9766983985901,401400,-0.00209827,0.0,50.0
8069,0.0854607,-3.3517,-6.19493411774,0.911983720958,41,0.0247865,344.71111845970154,403450,-0.0120424,0.0,50.0
8110,0.110706,-3.36404,-5.91484428049,0.902191847563,41,0.0337684,346.48393082618713,405500,-0.00998394,0.0,50.0
8151,0.0629726,-3.37277,-6.0986650971,0.929049536586,41,0.032392,348.2264087200165,407550,-0.0132444,0.0,50.0
8192,0.0735763,-3.38673,-5.95000125795,0.923199869692,41,0.0230421,349.9621741771698,409600,-0.00983492,0.0,50.0
8232,0.0677896,-3.37631,-5.44772489514,0.940187163651,40,0.030327,351.70304012298584,411600,-0.00426737,0.0,50.0
8273,0.0755836,-3.37509,-5.62505613827,0.927801094949,41,0.0413028,353.4686031341553,413650,-0.000237518,0.0,50.0
8314,0.103804,-3.398,-5.86793449627,0.912112288177,41,0.0235857,355.1954503059387,415700,-0.0146794,0.0,50.0
8355,0.0887738,-3.37596,-5.7944696999,0.917282044888,41,0.0471905,356.9684588909149,417750,0.00087376,0.0,50.0
8396,0.0823057,-3.37101,-5.76759005899,0.918900020421,41,0.0261808,358.7182698249817,419800,-0.00620733,0.0,50.0
8437,0.104023,-3.37773,-5.75271263577,0.899744875729,41,0.0206743,360.45302081108093,421850,-0.0159914,0.0,50.0
8478,0.0850796,-3.41079,-5.66402383234,0.922259256244,41,0.0282759,362.19068813323975,423900,-0.000698779,0.0,50.0
8519,0.0555113,-3.43574,-5.63018372465,0.921092279255,41,0.0635965,363.9434812068939,425950,0.00105362,0.0,50.0
8560,0.0648855,-3.42677,-5.7231750962,0.936468288302,41,0.0665661,365.6798486709595,428000,0.0048961,0.0,50.0
