TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
433643,0.00747561454773,1159,988.16,-0.00593947,0.0,2,1.11283,0.00455317,342.0899872779846,988.16,67.3467
436077,0.0229918956757,1162,982.5,-0.0088227,0.0,3,1.12063,0.00930955,343.7149820327759,982.5,85.4199
438077,-0.0298372507095,1164,982.5,-0.00438383,0.0,2,1.11052,0.00565991,345.32435417175293,982.5,67.7146
440077,-0.0194426774979,1166,982.5,-0.00943251,0.0,2,1.09503,0.0051101,346.9337236881256,982.5,68.2579
442077,-0.0386790037155,1168,982.5,-0.00616983,0.0,2,1.09255,0.00555145,348.5430932044983,982.5,68.8846
444077,0.0483223795891,1170,982.5,-0.00951617,0.0,2,1.10764,0.0114376,350.15246391296387,982.5,66.5531
446077,-0.0026398897171,1172,982.5,-0.00607886,0.0,2,1.09452,0.00559586,351.7305839061737,982.5,68.8794
448077,0.00893670320511,1174,982.5,-0.00759411,0.0,2,1.10162,0.0075838,353.3399541378021,982.5,48.3975
450077,0.00324910879135,1176,982.5,-0.00467598,0.0,2,1.09526,0.00451326,354.9649486541748,982.5,65.6239
452077,-0.0213783979416,1178,982.5,-0.00454084,0.0,2,1.10737,0.00599893,356.5586943626404,982.5,69.3309
454077,-0.0206680297852,1180,982.5,-0.00443468,0.0,2,1.11749,0.00547672,358.18701934814453,982.5,71.4309
456077,-0.0345296859741,1182,982.5,-0.010038,0.0,2,1.13286,0.00753222,359.7976031303406,982.5,68.7587
458077,0.0169688463211,1184,982.5,-0.00485464,0.0,2,1.14025,0.00705215,361.4033052921295,982.5,66.9339
460077,-0.0104012489319,1186,982.5,-0.00896693,0.0,2,1.12883,0.00779293,363.02291202545166,982.5,68.0357
462077,-0.000137329101563,1188,982.5,-0.00570803,0.0,2,1.12749,0.0051438,364.6369512081146,982.5,68.1948
464077,-0.00470399856567,1190,982.5,-0.00558442,0.0,2,1.11066,0.00525172,366.2472879886627,982.5,68.3064
