EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
1000.0,1123,109.512,-0.000797748565674,0.891863,-0.00615421,1000.0,0.0,3,413686,0.007167,331.84413146972656
1000.0,1125,72.3016,-0.000673890113831,0.908578,-0.00529533,1000.0,0.0,2,415686,0.00760727,333.48476123809814
1000.0,1127,71.6033,-0.000647783279419,0.899005,-0.00451416,1000.0,0.0,2,417686,0.00713633,335.1251804828644
1000.0,1129,71.0093,-0.000310182571411,0.906748,-0.0059513,1000.0,0.0,2,419686,0.0125904,336.7664489746094
1000.0,1131,70.5609,-0.000322937965393,0.936148,-0.00221048,1000.0,0.0,2,421686,0.0208745,338.40675497055054
1000.0,1133,70.2389,-0.000360488891602,0.945908,-0.0065321,1000.0,0.0,2,423686,0.00785971,340.0624270439148
1000.0,1135,68.9451,-0.000247955322266,0.960976,-0.00385546,1000.0,0.0,2,425686,0.00973853,341.68780755996704
1000.0,1137,67.541,0.0223850607872,0.955628,-0.00405727,1000.0,0.0,2,427686,0.00402455,343.3284339904785
1000.0,1139,66.0664,0.0620859861374,0.944584,-0.00385418,1000.0,0.0,2,429686,0.00481059,344.9531717300415
1000.0,1141,67.474,0.0506709814072,0.921152,-0.00277737,1000.0,0.0,2,431686,0.00607178,346.6090838909149
1000.0,1143,60.8599,0.0966568589211,0.928062,-0.00726,1000.0,0.0,2,433686,0.0109144,348.2344779968262
1000.0,1145,66.0279,0.119066417217,0.933029,-0.00229104,1000.0,0.0,2,435686,0.0286944,349.89100909233093
1000.0,1147,67.7187,0.0896998643875,0.925234,-0.00922995,1000.0,0.0,2,437686,0.0111436,351.51598167419434
1000.0,1149,65.7581,0.127978205681,0.928749,-0.00272395,1000.0,0.0,2,439686,0.00448488,353.1584963798523
1000.0,1151,39.8479,0.914075322449,0.901531,-0.00583227,1000.0,0.0,2,441686,0.00708199,354.796817779541
1000.0,1153,36.6901,0.923094108701,0.910559,-0.00800078,1000.0,0.0,2,443686,0.00664469,356.4378705024719
1000.0,1155,65.7448,0.114622652531,0.89429,-0.00421665,1000.0,0.0,2,445686,0.00721076,358.07811737060547
1000.0,1157,66.7726,0.0772222876549,0.898649,-0.00735395,1000.0,0.0,2,447686,0.00556612,359.70412611961365
